embedding,mode,klass,pair_id,effect,n_live_dims
ECFP4+stereo,stereo_flip,A,stereo_flip_042,0.9403978811386148,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_043,0.6122573335356117,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_044,0.5711962272353576,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_045,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_046,0.16615887754601086,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_047,0.41021606439168723,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_048,0.6422206599934811,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_049,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_050,0.7613678332192853,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_051,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_052,0.7302232696970418,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_053,0.6384226583373863,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_054,0.9058066739118138,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_055,0.41002831225779124,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_056,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_057,0.5066975614029029,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_058,0.9192645322273826,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_059,0.6300397370719436,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_060,0.7574228980078688,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_061,0.6312795590347126,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_062,0.09453237736768351,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_063,1.0515890736014342,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_064,0.597432722584209,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_065,0.6601680742969923,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_066,0.519185846559793,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_067,0.7018142196421269,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_068,0.7656837650126271,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_069,0.5169198614509833,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_070,0.8669404204138206,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_071,0.3694937867419259,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_072,0.7721712457184896,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_073,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_074,0.5610894588231458,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_075,0.5391605906831832,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_076,0.7040140874426449,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_077,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_078,0.833829334778147,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_079,0.7855534168852363,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_080,0.8055904116808421,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_081,0.9007930224001206,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_082,0.6586934683838649,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_083,0.8871564241687573,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_084,0.22201282924991425,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_085,0.3461891198217647,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_086,1.0403145390635427,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_087,0.6122573335356117,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_088,0.848721821122,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_089,0.8979616996982607,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_090,0.924560171569738,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_091,0.23084850115326938,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_092,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_093,0.8499542865631027,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_094,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_095,0.17965912391510136,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_096,0.8871711454008705,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_097,0.9008168939446599,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_098,0.42051387769193205,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_099,0.8394876102592483,2027
ECFP4+stereo,ez_flip,A,ez_flip_000,1.0102203187412764,2027
ECFP4+stereo,ez_flip,A,ez_flip_001,0.9421054985583512,2027
ECFP4+stereo,ez_flip,A,ez_flip_002,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_003,1.0889288141943108,2027
ECFP4+stereo,ez_flip,A,ez_flip_004,1.01675072660416,2027
ECFP4+stereo,ez_flip,A,ez_flip_005,0.5820375338556794,2027
ECFP4+stereo,ez_flip,A,ez_flip_006,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_007,0.854154365734232,2027
ECFP4+stereo,ez_flip,A,ez_flip_008,0.9421054985583512,2027
ECFP4+stereo,ez_flip,A,ez_flip_009,0.9804323347240479,2027
ECFP4+stereo,ez_flip,A,ez_flip_010,0.6532342143786432,2027
ECFP4+stereo,ez_flip,A,ez_flip_011,0.8094484072613944,2027
ECFP4+stereo,ez_flip,A,ez_flip_012,1.0005646129205485,2027
ECFP4+stereo,ez_flip,A,ez_flip_013,0.9509539140829343,2027
ECFP4+stereo,ez_flip,A,ez_flip_014,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_015,1.053741436678151,2027
ECFP4+stereo,ez_flip,A,ez_flip_016,1.0839499525609086,2027
ECFP4+stereo,ez_flip,A,ez_flip_017,0.8436401825126192,2027
ECFP4+stereo,ez_flip,A,ez_flip_018,0.8843101320210398,2027
ECFP4+stereo,ez_flip,A,ez_flip_019,0.9509539140829343,2027
ECFP4+stereo,ez_flip,A,ez_flip_020,1.113568378532742,2027
ECFP4+stereo,ez_flip,A,ez_flip_021,1.062161803244531,2027
ECFP4+stereo,ez_flip,A,ez_flip_022,1.024468931729121,2027
ECFP4+stereo,ez_flip,A,ez_flip_023,0.9225378273326735,2027
ECFP4+stereo,ez_flip,A,ez_flip_024,1.0431122276017986,2027
ECFP4+stereo,ez_flip,A,ez_flip_025,1.1138866765243922,2027
ECFP4+stereo,ez_flip,A,ez_flip_026,1.0839499525609086,2027
ECFP4+stereo,ez_flip,A,ez_flip_027,0.8172451026753718,2027
ECFP4+stereo,ez_flip,A,ez_flip_028,0.9666372169376448,2027
ECFP4+stereo,ez_flip,A,ez_flip_029,0.9175329995504162,2027
ECFP4+stereo,ez_flip,A,ez_flip_030,0.82861381413263,2027
ECFP4+stereo,ez_flip,A,ez_flip_031,0.841061477286927,2027
ECFP4+stereo,ez_flip,A,ez_flip_032,1.0920891858878576,2027
ECFP4+stereo,ez_flip,A,ez_flip_033,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_034,0.9347644669792943,2027
ECFP4+stereo,ez_flip,A,ez_flip_035,1.2214184798746444,2027
ECFP4+stereo,ez_flip,A,ez_flip_036,0.7696664375997928,2027
ECFP4+stereo,ez_flip,A,ez_flip_037,1.0135958148216877,2027
ECFP4+stereo,ez_flip,A,ez_flip_038,1.2533593476947764,2027
ECFP4+stereo,ez_flip,A,ez_flip_039,0.9652531006114956,2027
ECFP4+stereo,ez_flip,A,ez_flip_040,1.20564622270296,2027
ECFP4+stereo,ez_flip,A,ez_flip_041,0.7726297360176713,2027
ECFP4+stereo,ez_flip,A,ez_flip_042,0.8164894611273015,2027
ECFP4+stereo,ez_flip,A,ez_flip_043,1.1440323963243542,2027
ECFP4+stereo,ez_flip,A,ez_flip_044,1.1180532145004098,2027
ECFP4+stereo,ez_flip,A,ez_flip_045,0.9536339152624476,2027
ECFP4+stereo,ez_flip,A,ez_flip_046,0.863542555255422,2027
ECFP4+stereo,ez_flip,A,ez_flip_047,0.846283677144974,2027
ECFP4+stereo,ez_flip,A,ez_flip_048,1.1496717155388552,2027
ECFP4+stereo,ez_flip,A,ez_flip_049,0.8585299083705525,2027
ECFP4+stereo,ez_flip,A,ez_flip_050,0.957213060904636,2027
ECFP4+stereo,ez_flip,A,ez_flip_051,1.2349462353478318,2027
ECFP4+stereo,ez_flip,A,ez_flip_052,1.0175688500663957,2027
ECFP4+stereo,ez_flip,A,ez_flip_053,0.7530307649607467,2027
ECFP4+stereo,ez_flip,A,ez_flip_054,0.9713446982317172,2027
ECFP4+stereo,ez_flip,A,ez_flip_055,0.5459495978957918,2027
ECFP4+stereo,ez_flip,A,ez_flip_056,0.532238714730452,2027
ECFP4+stereo,ez_flip,A,ez_flip_057,1.123209828587965,2027
ECFP4+stereo,ez_flip,A,ez_flip_058,0.7956315828333085,2027
ECFP4+stereo,ez_flip,A,ez_flip_059,0.647223097755631,2027
ECFP4+stereo,ez_flip,A,ez_flip_060,1.2068780517852795,2027
ECFP4+stereo,ez_flip,A,ez_flip_061,1.4692386971365219,2027
ECFP4+stereo,ez_flip,A,ez_flip_062,0.7239412203441924,2027
ECFP4+stereo,ez_flip,A,ez_flip_063,0.8718236793158374,2027
ECFP4+stereo,ez_flip,A,ez_flip_064,1.1243479571611563,2027
ECFP4+stereo,ez_flip,A,ez_flip_065,0.9093178988913785,2027
ECFP4+stereo,ez_flip,A,ez_flip_066,0.9782469704335012,2027
ECFP4+stereo,ez_flip,A,ez_flip_067,1.0257324142123694,2027
ECFP4+stereo,ez_flip,A,ez_flip_068,0.8924947402130299,2027
ECFP4+stereo,ez_flip,A,ez_flip_069,1.0431122276017986,2027
ECFP4+stereo,ez_flip,A,ez_flip_070,0.8227897619754398,2027
ECFP4+stereo,ez_flip,A,ez_flip_071,0.8741270992680326,2027
ECFP4+stereo,ez_flip,A,ez_flip_072,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_073,1.0139753964642717,2027
ECFP4+stereo,ez_flip,A,ez_flip_074,0.9175329995504162,2027
ECFP4+stereo,ez_flip,A,ez_flip_075,1.2106020323968179,2027
ECFP4+stereo,ez_flip,A,ez_flip_076,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_077,0.728302662966628,2027
ECFP4+stereo,ez_flip,A,ez_flip_078,0.8587005238778769,2027
ECFP4+stereo,ez_flip,A,ez_flip_079,0.5544197113132082,2027
ECFP4+stereo,ez_flip,A,ez_flip_080,0.9713446982317172,2027
ECFP4+stereo,ez_flip,A,ez_flip_081,0.8587005238778769,2027
ECFP4+stereo,ez_flip,A,ez_flip_082,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_083,0.7326020658942417,2027
ECFP4+stereo,ez_flip,A,ez_flip_084,0.7639832072910903,2027
ECFP4+stereo,ez_flip,A,ez_flip_085,1.0362146323389634,2027
ECFP4+stereo,ez_flip,A,ez_flip_086,0.8402487646716927,2027
ECFP4+stereo,ez_flip,A,ez_flip_087,1.00476357858546,2027
ECFP4+stereo,ez_flip,A,ez_flip_088,1.123209828587965,2027
ECFP4+stereo,ez_flip,A,ez_flip_089,0.5169579863817874,2027
ECFP4+stereo,ez_flip,A,ez_flip_090,0.8779427674443027,2027
ECFP4+stereo,ez_flip,A,ez_flip_091,1.0490349031532433,2027
ECFP4+stereo,ez_flip,A,ez_flip_092,1.0093805405665024,2027
ECFP4+stereo,ez_flip,A,ez_flip_093,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_094,1.035924345744923,2027
ECFP4+stereo,ez_flip,A,ez_flip_095,0.8139267234079125,2027
ECFP4+stereo,ez_flip,A,ez_flip_096,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_097,0.9634404845083927,2027
ECFP4+stereo,ez_flip,A,ez_flip_098,0.9175329995504162,2027
ECFP4+stereo,ez_flip,A,ez_flip_099,0.5544197113132082,2027
ECFP4+stereo,c_to_n,A,c_to_n_000,0.971764729318587,2027
ECFP4+stereo,c_to_n,A,c_to_n_001,0.5723325646420591,2027
ECFP4+stereo,c_to_n,A,c_to_n_002,0.7735093986383854,2027
ECFP4+stereo,c_to_n,A,c_to_n_003,0.7183597024192023,2027
ECFP4+stereo,c_to_n,A,c_to_n_004,0.596855434310041,2027
ECFP4+stereo,c_to_n,A,c_to_n_005,0.8879341464859165,2027
ECFP4+stereo,c_to_n,A,c_to_n_006,1.1260119687254464,2027
ECFP4+stereo,c_to_n,A,c_to_n_007,0.704426764836877,2027
ECFP4+stereo,c_to_n,A,c_to_n_008,0.6256809587150978,2027
ECFP4+stereo,c_to_n,A,c_to_n_009,0.51644063753618,2027
ECFP4+stereo,c_to_n,A,c_to_n_010,0.5955481592340031,2027
ECFP4+stereo,c_to_n,A,c_to_n_011,0.6301233021349008,2027
ECFP4+stereo,c_to_n,A,c_to_n_012,0.6825765707106233,2027
ECFP4+stereo,c_to_n,A,c_to_n_013,0.44927205280309673,2027
ECFP4+stereo,c_to_n,A,c_to_n_014,0.5768411613787425,2027
ECFP4+stereo,c_to_n,A,c_to_n_015,0.6446695232131625,2027
ECFP4+stereo,c_to_n,A,c_to_n_016,0.8590834254435126,2027
ECFP4+stereo,c_to_n,A,c_to_n_017,0.8297848724910037,2027
ECFP4+stereo,c_to_n,A,c_to_n_018,0.9572977063696793,2027
ECFP4+stereo,c_to_n,A,c_to_n_019,1.1187202114350678,2027
ECFP4+stereo,c_to_n,A,c_to_n_020,0.818963765584056,2027
ECFP4+stereo,c_to_n,A,c_to_n_021,0.8849106964722234,2027
ECFP4+stereo,c_to_n,A,c_to_n_022,1.0197903750327768,2027
ECFP4+stereo,c_to_n,A,c_to_n_023,0.8177425131931759,2027
ECFP4+stereo,c_to_n,A,c_to_n_024,0.5952942018308307,2027
ECFP4+stereo,c_to_n,A,c_to_n_025,0.7196515983307278,2027
ECFP4+stereo,c_to_n,A,c_to_n_026,0.6737063734117443,2027
ECFP4+stereo,c_to_n,A,c_to_n_027,0.8168891065202195,2027
ECFP4+stereo,c_to_n,A,c_to_n_028,0.5501169372306722,2027
ECFP4+stereo,c_to_n,A,c_to_n_029,0.7693513501564092,2027
ECFP4+stereo,c_to_n,A,c_to_n_030,0.7332611638832747,2027
ECFP4+stereo,c_to_n,A,c_to_n_031,0.7458996474614601,2027
ECFP4+stereo,c_to_n,A,c_to_n_032,0.5822148738289384,2027
ECFP4+stereo,c_to_n,A,c_to_n_033,0.6278619766672503,2027
ECFP4+stereo,c_to_n,A,c_to_n_034,0.6978232066207487,2027
ECFP4+stereo,c_to_n,A,c_to_n_035,0.8432301977017903,2027
ECFP4+stereo,c_to_n,A,c_to_n_036,0.9028259469245279,2027
ECFP4+stereo,c_to_n,A,c_to_n_037,0.4594046866578791,2027
ECFP4+stereo,c_to_n,A,c_to_n_038,1.0185594256771056,2027
ECFP4+stereo,c_to_n,A,c_to_n_039,1.0475361505031482,2027
ECFP4+stereo,c_to_n,A,c_to_n_040,0.8249257221056779,2027
ECFP4+stereo,c_to_n,A,c_to_n_041,0.5376108860908535,2027
ECFP4+stereo,c_to_n,A,c_to_n_042,0.7628823985486065,2027
ECFP4+stereo,c_to_n,A,c_to_n_043,0.6141858638432097,2027
ECFP4+stereo,c_to_n,A,c_to_n_044,1.020208494720324,2027
ECFP4+stereo,c_to_n,A,c_to_n_045,0.6999275870128727,2027
ECFP4+stereo,c_to_n,A,c_to_n_046,0.8007626293047978,2027
ECFP4+stereo,c_to_n,A,c_to_n_047,0.9487696302522513,2027
ECFP4+stereo,c_to_n,A,c_to_n_048,0.7178733194239637,2027
ECFP4+stereo,c_to_n,A,c_to_n_049,0.7244204735393046,2027
ECFP4+stereo,c_to_n,A,c_to_n_050,0.8659872251914135,2027
ECFP4+stereo,c_to_n,A,c_to_n_051,0.7563235497240232,2027
ECFP4+stereo,c_to_n,A,c_to_n_052,0.8125518494579839,2027
ECFP4+stereo,c_to_n,A,c_to_n_053,0.6971664980180844,2027
ECFP4+stereo,c_to_n,A,c_to_n_054,0.6614549080369659,2027
ECFP4+stereo,c_to_n,A,c_to_n_055,0.7190116040305027,2027
ECFP4+stereo,c_to_n,A,c_to_n_056,0.6752180277104414,2027
ECFP4+stereo,c_to_n,A,c_to_n_057,0.5657486226566787,2027
ECFP4+stereo,c_to_n,A,c_to_n_058,0.529343044267601,2027
ECFP4+stereo,c_to_n,A,c_to_n_059,0.7482673160216311,2027
ECFP4+stereo,c_to_n,A,c_to_n_060,0.7012094239880864,2027
ECFP4+stereo,c_to_n,A,c_to_n_061,1.088970818720964,2027
ECFP4+stereo,c_to_n,A,c_to_n_062,0.740716805150675,2027
ECFP4+stereo,c_to_n,A,c_to_n_063,0.8008375152363244,2027
ECFP4+stereo,c_to_n,A,c_to_n_064,0.44629621470919134,2027
ECFP4+stereo,c_to_n,A,c_to_n_065,0.5487038227045133,2027
ECFP4+stereo,c_to_n,A,c_to_n_066,0.5498003450250534,2027
ECFP4+stereo,c_to_n,A,c_to_n_067,0.6446440742306517,2027
ECFP4+stereo,c_to_n,A,c_to_n_068,0.9986674719550326,2027
ECFP4+stereo,c_to_n,A,c_to_n_069,0.8722905454582703,2027
ECFP4+stereo,c_to_n,A,c_to_n_070,0.5053126813864999,2027
ECFP4+stereo,c_to_n,A,c_to_n_071,0.68464718451708,2027
ECFP4+stereo,c_to_n,A,c_to_n_072,0.7605933222975265,2027
ECFP4+stereo,c_to_n,A,c_to_n_073,0.719278065796204,2027
ECFP4+stereo,c_to_n,A,c_to_n_074,0.6252334692098402,2027
ECFP4+stereo,c_to_n,A,c_to_n_075,0.9213452800802286,2027
ECFP4+stereo,c_to_n,A,c_to_n_076,1.0680043872277456,2027
ECFP4+stereo,c_to_n,A,c_to_n_077,0.9348191681001331,2027
ECFP4+stereo,c_to_n,A,c_to_n_078,0.884029146215109,2027
ECFP4+stereo,c_to_n,A,c_to_n_079,0.5826494426346013,2027
ECFP4+stereo,c_to_n,A,c_to_n_080,0.6686898876940276,2027
ECFP4+stereo,c_to_n,A,c_to_n_081,0.7678396327262216,2027
ECFP4+stereo,c_to_n,A,c_to_n_082,0.6245951239411406,2027
ECFP4+stereo,c_to_n,A,c_to_n_083,0.8405458067017069,2027
ECFP4+stereo,c_to_n,A,c_to_n_084,0.8078197043581953,2027
ECFP4+stereo,c_to_n,A,c_to_n_085,0.45465072321668576,2027
ECFP4+stereo,c_to_n,A,c_to_n_086,0.7179532663285108,2027
ECFP4+stereo,c_to_n,A,c_to_n_087,0.7768962697308708,2027
ECFP4+stereo,c_to_n,A,c_to_n_088,0.7905404898712951,2027
ECFP4+stereo,c_to_n,A,c_to_n_089,0.8499600336317144,2027
ECFP4+stereo,c_to_n,A,c_to_n_090,0.7020664422728088,2027
ECFP4+stereo,c_to_n,A,c_to_n_091,0.6959392257166999,2027
ECFP4+stereo,c_to_n,A,c_to_n_092,0.6454753071736654,2027
ECFP4+stereo,c_to_n,A,c_to_n_093,0.5515074694297917,2027
ECFP4+stereo,c_to_n,A,c_to_n_094,0.750426188656761,2027
ECFP4+stereo,c_to_n,A,c_to_n_095,0.7208271622068277,2027
ECFP4+stereo,c_to_n,A,c_to_n_096,1.2171061419732112,2027
ECFP4+stereo,c_to_n,A,c_to_n_097,0.2753994623228148,2027
ECFP4+stereo,c_to_n,A,c_to_n_098,0.7002233734489808,2027
ECFP4+stereo,c_to_n,A,c_to_n_099,0.5565870926453649,2027
ECFP4+stereo,add_methyl,A,add_methyl_000,0.7920435920864144,2027
ECFP4+stereo,add_methyl,A,add_methyl_001,0.5996139469440807,2027
ECFP4+stereo,add_methyl,A,add_methyl_002,0.7636405524839043,2027
ECFP4+stereo,add_methyl,A,add_methyl_003,0.606402551473471,2027
ECFP4+stereo,add_methyl,A,add_methyl_004,0.6626999766426027,2027
ECFP4+stereo,add_methyl,A,add_methyl_005,0.8305150787829081,2027
ECFP4+stereo,add_methyl,A,add_methyl_006,0.6890104409917545,2027
ECFP4+stereo,add_methyl,A,add_methyl_007,0.6254132102262491,2027
ECFP4+stereo,add_methyl,A,add_methyl_008,0.7058207918935703,2027
ECFP4+stereo,add_methyl,A,add_methyl_009,1.1213254106294874,2027
ECFP4+stereo,add_methyl,A,add_methyl_010,0.4192533033685495,2027
ECFP4+stereo,add_methyl,A,add_methyl_011,0.7064784261643138,2027
ECFP4+stereo,add_methyl,A,add_methyl_012,0.5483322007324766,2027
ECFP4+stereo,add_methyl,A,add_methyl_013,0.4620870342375774,2027
ECFP4+stereo,add_methyl,A,add_methyl_014,0.779650556581682,2027
ECFP4+stereo,add_methyl,A,add_methyl_015,0.7702844576764705,2027
ECFP4+stereo,add_methyl,A,add_methyl_016,0.6194958102465367,2027
ECFP4+stereo,add_methyl,A,add_methyl_017,0.4884033120244454,2027
ECFP4+stereo,add_methyl,A,add_methyl_018,0.4877945618142878,2027
ECFP4+stereo,add_methyl,A,add_methyl_019,1.113328702948391,2027
ECFP4+stereo,add_methyl,A,add_methyl_020,1.0020823551619233,2027
ECFP4+stereo,add_methyl,A,add_methyl_021,0.4970898496402214,2027
ECFP4+stereo,add_methyl,A,add_methyl_022,0.6056671791177708,2027
ECFP4+stereo,add_methyl,A,add_methyl_023,0.8381898704694012,2027
ECFP4+stereo,add_methyl,A,add_methyl_024,0.6697805919355839,2027
ECFP4+stereo,add_methyl,A,add_methyl_025,0.5490281300127023,2027
ECFP4+stereo,add_methyl,A,add_methyl_026,0.7974260665651641,2027
ECFP4+stereo,add_methyl,A,add_methyl_027,0.8409534732433112,2027
ECFP4+stereo,add_methyl,A,add_methyl_028,0.5587302685914495,2027
ECFP4+stereo,add_methyl,A,add_methyl_029,0.8484577200257357,2027
ECFP4+stereo,add_methyl,A,add_methyl_030,0.592259388809224,2027
ECFP4+stereo,add_methyl,A,add_methyl_031,0.8181435319019059,2027
ECFP4+stereo,add_methyl,A,add_methyl_032,0.7194571432622239,2027
ECFP4+stereo,add_methyl,A,add_methyl_033,0.8510925937382152,2027
ECFP4+stereo,add_methyl,A,add_methyl_034,0.6689228193628208,2027
ECFP4+stereo,add_methyl,A,add_methyl_035,0.8125729264441531,2027
ECFP4+stereo,add_methyl,A,add_methyl_036,0.6096182291751435,2027
ECFP4+stereo,add_methyl,A,add_methyl_037,0.435238731510872,2027
ECFP4+stereo,add_methyl,A,add_methyl_038,0.6015575740848035,2027
ECFP4+stereo,add_methyl,A,add_methyl_039,0.8812045077846701,2027
ECFP4+stereo,add_methyl,A,add_methyl_040,0.6320826156541073,2027
ECFP4+stereo,add_methyl,A,add_methyl_041,0.7106944905821214,2027
ECFP4+stereo,add_methyl,A,add_methyl_042,0.8705556212759149,2027
ECFP4+stereo,add_methyl,A,add_methyl_043,0.6894134416682824,2027
ECFP4+stereo,add_methyl,A,add_methyl_044,1.2017300505007655,2027
ECFP4+stereo,add_methyl,A,add_methyl_045,0.72569478588267,2027
ECFP4+stereo,add_methyl,A,add_methyl_046,0.9159233580654421,2027
ECFP4+stereo,add_methyl,A,add_methyl_047,0.5960176890203596,2027
ECFP4+stereo,add_methyl,A,add_methyl_048,0.8206248794113064,2027
ECFP4+stereo,add_methyl,A,add_methyl_049,0.6292824661923255,2027
ECFP4+stereo,add_methyl,A,add_methyl_050,0.8574959031265917,2027
ECFP4+stereo,add_methyl,A,add_methyl_051,0.9377550006014751,2027
ECFP4+stereo,add_methyl,A,add_methyl_052,0.7751775826381684,2027
ECFP4+stereo,add_methyl,A,add_methyl_053,1.0270893999556254,2027
ECFP4+stereo,add_methyl,A,add_methyl_054,0.9353892210802335,2027
ECFP4+stereo,add_methyl,A,add_methyl_055,0.831501073949373,2027
ECFP4+stereo,add_methyl,A,add_methyl_056,0.916014154470057,2027
ECFP4+stereo,add_methyl,A,add_methyl_057,0.6396220970590282,2027
ECFP4+stereo,add_methyl,A,add_methyl_058,0.512290159751591,2027
ECFP4+stereo,add_methyl,A,add_methyl_059,1.0384833089976937,2027
ECFP4+stereo,add_methyl,A,add_methyl_060,0.648022487679191,2027
ECFP4+stereo,add_methyl,A,add_methyl_061,1.2858148191398928,2027
ECFP4+stereo,add_methyl,A,add_methyl_062,0.7266728927677005,2027
ECFP4+stereo,add_methyl,A,add_methyl_063,0.7480957192929935,2027
